window_size,step,runtime_s,PathwayDisplay,pt_mid,NES,padj,window_id
1000,20,7.250539064407349,E2F Targets,0.5947051,3.9441658574855287,6.898522255643369e-07,110
1000,20,7.250539064407349,E2F Targets,0.5956858,3.97217029846356,2.8686924231388296e-07,111
1000,20,7.250539064407349,E2F Targets,0.5965382,4.026693714338919,8.150385556339866e-08,112
1000,20,7.250539064407349,E2F Targets,0.5976223,4.053991763079232,1.9715730604226366e-08,113
1000,20,7.250539064407349,E2F Targets,0.5985625,4.112698708581178,1.0224534629646972e-08,114
1000,20,7.250539064407349,E2F Targets,0.5995292,4.106208008019304,1.1838934834328073e-08,115
1000,20,7.250539064407349,E2F Targets,0.60066795,4.156293082935569,3.464566775887416e-09,116
1000,20,7.250539064407349,E2F Targets,0.6018751,4.122065525428382,2.6070007422519196e-09,117
1000,20,7.250539064407349,E2F Targets,0.6035625,4.176333718755315,3.01863243839696e-09,118
1000,20,7.250539064407349,E2F Targets,0.60571456,4.153666598980791,3.15584300377864e-09,119
1000,20,7.250539064407349,E2F Targets,0.6072582,4.2014617950174795,2.33257961148856e-09,120
1000,20,7.250539064407349,E2F Targets,0.60870445,4.223712357500436,6.734663367058813e-10,121
1000,20,7.250539064407349,E2F Targets,0.61133003,4.198395174502714,7.259442330725732e-10,122
1000,20,7.250539064407349,E2F Targets,0.61705345,4.1484277068897715,8.072001023405504e-09,123
1000,20,7.250539064407349,E2F Targets,0.6236553,4.140744968459272,2.2296716874523e-09,124
1000,20,7.250539064407349,E2F Targets,0.63325834,4.137744563533834,8.072001023405504e-09,125
1000,20,7.250539064407349,E2F Targets,0.64683175,4.093465670035585,1.220918741333062e-07,126
1000,20,7.250539064407349,E2F Targets,0.665589,4.064525145495844,7.173759836081269e-08,127
1000,20,7.250539064407349,E2F Targets,0.6991842,3.9943511001531546,1.9124616154258865e-07,128
1000,20,7.250539064407349,G2-M Checkpoint,0.2516232,-2.3141097812345963,0.5298426011029411,0
1000,20,7.250539064407349,G2-M Checkpoint,0.28734004,-2.3976594059773557,0.5691441127232143,1
1000,20,7.250539064407349,G2-M Checkpoint,0.2980762,-2.4897359068638236,0.4234212239583333,2
1000,20,7.250539064407349,G2-M Checkpoint,0.31063437,-2.5574449060106246,0.5196533203125,3
1000,20,7.250539064407349,G2-M Checkpoint,0.32167637,-2.620469767884679,0.346435546875,4
1000,20,7.250539064407349,G2-M Checkpoint,0.33076945,-2.590630744732325,0.41572265625,5
1000,20,7.250539064407349,G2-M Checkpoint,0.33805275,-2.612618442443517,0.346435546875,6
1000,20,7.250539064407349,G2-M Checkpoint,0.3448662,-2.745430876843021,0.207861328125,7
1000,20,7.250539064407349,G2-M Checkpoint,0.34946954,-2.7426844986703522,0.115478515625,8
1000,20,7.250539064407349,G2-M Checkpoint,0.3536232,-2.71408427497091,0.2425048828125,9
1000,20,7.250539064407349,G2-M Checkpoint,0.35829645,-2.6936119685601705,0.41572265625,10
1000,20,7.250539064407349,G2-M Checkpoint,0.3614303,-2.626807339694123,0.26887669657960883,11
1000,20,7.250539064407349,G2-M Checkpoint,0.36564225,-2.553683853726879,0.2886962890625,12
1000,20,7.250539064407349,G2-M Checkpoint,0.3682325,-2.5131539291693974,0.346435546875,13
1000,20,7.250539064407349,G2-M Checkpoint,0.37009242,-2.549789603367556,0.346435546875,14
1000,20,7.250539064407349,G2-M Checkpoint,0.37372428,-2.590391705187955,0.220458984375,15
1000,20,7.250539064407349,G2-M Checkpoint,0.37779552,-2.7100607387591213,0.14847237723214285,16
1000,20,7.250539064407349,G2-M Checkpoint,0.380655,-2.673960470513775,0.14847237723214285,17
1000,20,7.250539064407349,G2-M Checkpoint,0.38302577,-2.752292003263661,0.08751078524791288,18
1000,20,7.250539064407349,G2-M Checkpoint,0.38471907,-2.840937728112101,0.069287109375,19
1000,20,7.250539064407349,G2-M Checkpoint,0.3873989,-2.8542029021797792,0.045885733743374686,20
1000,20,7.250539064407349,G2-M Checkpoint,0.38982022,-2.9379159030611386,0.020595576861712733,21
1000,20,7.250539064407349,G2-M Checkpoint,0.39154613,-2.986029140202826,0.010858559087982209,22
1000,20,7.250539064407349,G2-M Checkpoint,0.39426395,-3.0378235681570427,0.004633550524226128,23
1000,20,7.250539064407349,G2-M Checkpoint,0.39625216,-3.216912466987551,0.0001939403161677652,24
1000,20,7.250539064407349,G2-M Checkpoint,0.39833453,-3.173015737406449,0.0002560519206920823,25
1000,20,7.250539064407349,G2-M Checkpoint,0.40111244,-3.2756371728529703,2.9049795383006e-05,26
1000,20,7.250539064407349,G2-M Checkpoint,0.40462554,-3.2946739387442645,1.4009440759298131e-05,27
1000,20,7.250539064407349,G2-M Checkpoint,0.406891,-3.447643893248637,1.6392528132221887e-07,28
1000,20,7.250539064407349,G2-M Checkpoint,0.41076246,-3.460962832807225,1.4206857714592303e-07,29
1000,20,7.250539064407349,G2-M Checkpoint,0.41614985,-3.443614516825349,5.6425746159276006e-08,30
1000,20,7.250539064407349,G2-M Checkpoint,0.42104536,-3.5236614964977604,1.89948056377761e-08,31
1000,20,7.250539064407349,G2-M Checkpoint,0.4246476,-3.577916443151427,9.41381731553151e-09,32
1000,20,7.250539064407349,G2-M Checkpoint,0.42807335,-3.630366676147006,8.198670911667718e-10,33
1000,20,7.250539064407349,G2-M Checkpoint,0.4337331,-3.7275643923140636,8.028331052824212e-11,34
1000,20,7.250539064407349,G2-M Checkpoint,0.4410996,-3.8181147609218558,1.1888630612302877e-11,35
1000,20,7.250539064407349,G2-M Checkpoint,0.44515806,-3.747362778825368,9.366386228294914e-11,36
1000,20,7.250539064407349,G2-M Checkpoint,0.44969702,-3.7026181977936896,3.5324994577675616e-09,37
1000,20,7.250539064407349,G2-M Checkpoint,0.45418543,-3.821093802948618,1.3603560950618803e-10,38
1000,20,7.250539064407349,G2-M Checkpoint,0.46078655,-3.880318958886827,1.0697817368243493e-10,39
1000,20,7.250539064407349,G2-M Checkpoint,0.4678028,-3.9275422209920525,8.188094919476843e-11,40
1000,20,7.250539064407349,G2-M Checkpoint,0.47300965,-3.9595396431328167,1.0121395108797764e-10,41
1000,20,7.250539064407349,G2-M Checkpoint,0.47982877,-3.9672648596818236,1.0690012811539213e-10,42
1000,20,7.250539064407349,G2-M Checkpoint,0.48543477,-3.9257535927851346,1.6792926837341454e-09,43
1000,20,7.250539064407349,G2-M Checkpoint,0.49766454,-3.968215712461917,3.300536099494398e-10,44
1000,20,7.250539064407349,G2-M Checkpoint,0.50299174,-3.9278418851192396,4.59655394028628e-09,45
1000,20,7.250539064407349,G2-M Checkpoint,0.51033676,-3.876132817192393,8.151921825617448e-09,46
1000,20,7.250539064407349,G2-M Checkpoint,0.51764256,-3.8844885759373318,2.390316730584814e-09,47
1000,20,7.250539064407349,G2-M Checkpoint,0.52509695,-3.8268023339191384,4.316146429573881e-08,48
1000,20,7.250539064407349,G2-M Checkpoint,0.53207064,-3.844047095911354,2.071813596007413e-08,49
1000,20,7.250539064407349,G2-M Checkpoint,0.53641355,-3.851804158357248,8.016056461857159e-09,50
1000,20,7.250539064407349,G2-M Checkpoint,0.5402888,-3.7080752721900274,2.458879219833283e-07,51
1000,20,7.250539064407349,G2-M Checkpoint,0.54337746,-3.7196921582088263,3.724836837965274e-07,52
1000,20,7.250539064407349,G2-M Checkpoint,0.5458961,-3.6762207239569475,2.7645012370250634e-06,53
1000,20,7.250539064407349,G2-M Checkpoint,0.5479513,-3.6220622899091217,2.31446615192796e-06,54
1000,20,7.250539064407349,G2-M Checkpoint,0.5502163,-3.5850476300444645,2.6205895067392983e-05,55
1000,20,7.250539064407349,G2-M Checkpoint,0.5518471,-3.605671701288987,5.984079969064278e-06,56
1000,20,7.250539064407349,G2-M Checkpoint,0.55314374,-3.5667021067666997,1.0337953755484018e-05,57
1000,20,7.250539064407349,G2-M Checkpoint,0.5542995,-3.548897716401778,2.472254251640847e-05,58
1000,20,7.250539064407349,G2-M Checkpoint,0.5552962,-3.54719902187581,7.060065979354939e-06,59
1000,20,7.250539064407349,G2-M Checkpoint,0.55635893,-3.5379184670667603,2.2720261350228046e-05,60
1000,20,7.250539064407349,G2-M Checkpoint,0.55745405,-3.452977146268691,8.812859273496202e-05,61
1000,20,7.250539064407349,G2-M Checkpoint,0.55907327,-3.375464788713789,0.00025478433692627977,62
1000,20,7.250539064407349,G2-M Checkpoint,0.5600357,-3.356814907635463,0.00032323386027960864,63
1000,20,7.250539064407349,G2-M Checkpoint,0.56092405,-3.4001884936347704,0.00016705750006530256,64
1000,20,7.250539064407349,G2-M Checkpoint,0.5618551,-3.3173711247600317,0.0006401298017302058,65
1000,20,7.250539064407349,G2-M Checkpoint,0.56253976,-3.2604854854774885,0.001357193312042059,66
1000,20,7.250539064407349,G2-M Checkpoint,0.56324136,-3.267120550831415,0.0012527938265003622,67
1000,20,7.250539064407349,G2-M Checkpoint,0.5638939,-3.198637632359634,0.0026287030127011583,68
1000,20,7.250539064407349,G2-M Checkpoint,0.5644741,-3.233082428098797,0.001968676013071998,69
1000,20,7.250539064407349,G2-M Checkpoint,0.5651752,-3.140525837619904,0.0037435418096718,70
1000,20,7.250539064407349,G2-M Checkpoint,0.56570995,-3.0490985570603204,0.014681995386567495,71
1000,20,7.250539064407349,G2-M Checkpoint,0.56648713,-2.933429698320805,0.024987280751342655,72
1000,20,7.250539064407349,G2-M Checkpoint,0.56722987,-2.9497709907949123,0.028167480119695356,73
1000,20,7.250539064407349,G2-M Checkpoint,0.5677071,-2.8344783691720865,0.05278358914270551,74
1000,20,7.250539064407349,G2-M Checkpoint,0.56838226,-2.8131593171803506,0.044386199960911456,75
1000,20,7.250539064407349,G2-M Checkpoint,0.5691612,-2.708028094674619,0.08660888671875,76
1000,20,7.250539064407349,G2-M Checkpoint,0.56974727,-2.7142928562532846,0.08609932096972073,77
1000,20,7.250539064407349,G2-M Checkpoint,0.5703981,-2.6413756708120095,0.069287109375,78
1000,20,7.250539064407349,G2-M Checkpoint,0.57110775,-2.622185347151099,0.11879824341450541,79
1000,20,7.250539064407349,G2-M Checkpoint,0.571843,-2.626577759533838,0.13510388466747675,80
1000,20,7.250539064407349,G2-M Checkpoint,0.57266355,-2.480136016541887,0.13857421875,81
1000,20,7.250539064407349,G2-M Checkpoint,0.5733037,-2.1919411238903006,0.2969447544642857,82
1000,20,7.250539064407349,G2-M Checkpoint,0.5737774,-2.1088455924969685,0.2969447544642857,83
1000,20,7.250539064407349,G2-M Checkpoint,0.5745177,-1.8905141702766004,0.577392578125,84
1000,20,7.250539064407349,G2-M Checkpoint,0.5751319,-1.9435041682848604,0.49078369140625,85
1000,20,7.250539064407349,G2-M Checkpoint,0.5758145,-1.7729698794980644,0.657965796579658,86
1000,20,7.250539064407349,G2-M Checkpoint,0.57634175,-1.7049837641609278,0.6603927612304688,87
1000,20,7.250539064407349,G2-M Checkpoint,0.5769645,-1.3281929734093367,0.8685213414634146,88
1000,20,7.250539064407349,G2-M Checkpoint,0.5776467,1.4209703373485456,0.9278273809523809,89
1000,20,7.250539064407349,G2-M Checkpoint,0.57837635,1.5749834944577237,0.776980198019802,90
1000,20,7.250539064407349,G2-M Checkpoint,0.57898366,1.8823254041501674,0.7570258246527778,91
1000,20,7.250539064407349,G2-M Checkpoint,0.57965815,2.1729600834655596,0.57161865234375,92
1000,20,7.250539064407349,G2-M Checkpoint,0.58041453,2.3816056568228667,0.3117919921875,93
1000,20,7.250539064407349,G2-M Checkpoint,0.5812403,2.602728831993717,0.14434814453125,94
1000,20,7.250539064407349,G2-M Checkpoint,0.5820931,2.8613647177109924,0.115478515625,95
1000,20,7.250539064407349,G2-M Checkpoint,0.58291996,3.1156917292103876,0.023018585904267173,96
