level	axis	protein_name	left_out_unit	n_units_remaining	spearman_refit	direction_preserved
guide	immune_evasion_antigen_presentation	HLA_A	GSN_3	740	0.5655875331539458	True
guide	immune_evasion_antigen_presentation	HLA_A	HASPIN_1	740	0.5678453699819699	True
guide	immune_evasion_antigen_presentation	HLA_A	HASPIN_2	740	0.5645465366425412	True
guide	immune_evasion_antigen_presentation	HLA_A	HASPIN_3	740	0.5653637454079018	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-A_1	740	0.5645768606668827	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-A_2	740	0.5633416304878451	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-A_3	740	0.5649676082266353	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-B_1	740	0.5633594873107729	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-B_2	740	0.5633286598602459	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-B_3	740	0.5633061241351249	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-C_1	740	0.5633519655312975	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-C_2	740	0.5633035181642831	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-C_3	740	0.5635455477062201	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-DRB5_1	740	0.5668019747928587	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-DRB5_2	740	0.5641810788452765	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-DRB5_3	740	0.5671268031356343	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-E_1	740	0.5641294332413199	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-E_2	740	0.5650955969309363	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-E_3	740	0.5661994624889005	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-F_1	740	0.5650607716842315	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-F_2	740	0.5659703739612578	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-F_3	740	0.5641543676441476	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-H_1	740	0.563736938496571	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-H_2	740	0.5654990189852379	True
guide	immune_evasion_antigen_presentation	HLA_A	HLA-H_3	740	0.5651820677815977	True
guide	immune_evasion_antigen_presentation	HLA_A	HNRNPA1_1	740	0.5637236421226165	True
guide	immune_evasion_antigen_presentation	HLA_A	HNRNPA1_2	740	0.5645423907798383	True
guide	immune_evasion_antigen_presentation	HLA_A	HNRNPA1_3	740	0.565354328376905	True
guide	immune_evasion_antigen_presentation	HLA_A	HNRNPC_2	740	0.5649836586379569	True
guide	immune_evasion_antigen_presentation	HLA_A	HSPA1A_1	740	0.5637156761435659	True
guide	immune_evasion_antigen_presentation	HLA_A	HSPA1A_2	740	0.5657565066723959	True
guide	immune_evasion_antigen_presentation	HLA_A	HSPA1A_3	740	0.565608943573476	True
guide	immune_evasion_antigen_presentation	HLA_A	IDH2_1	740	0.5650791615466496	True
guide	immune_evasion_antigen_presentation	HLA_A	IDH2_2	740	0.5654323890489406	True
guide	immune_evasion_antigen_presentation	HLA_A	IDH2_3	740	0.5649272749051967	True
guide	immune_evasion_antigen_presentation	HLA_A	IDI2-AS1_1	740	0.5665850573335796	True
guide	immune_evasion_antigen_presentation	HLA_A	IDI2-AS1_2	740	0.5653491164352215	True
guide	immune_evasion_antigen_presentation	HLA_A	IDI2-AS1_3	740	0.564667270087112	True
guide	immune_evasion_antigen_presentation	HLA_A	IFNGR1_1	740	0.5633022447921672	True
guide	immune_evasion_antigen_presentation	HLA_A	IFNGR1_2	740	0.5633022447921672	True
guide	immune_evasion_antigen_presentation	HLA_A	IFNGR1_3	740	0.5633020374990321	True
guide	immune_evasion_antigen_presentation	HLA_A	IFNGR2_1	740	0.563301978272422	True
guide	immune_evasion_antigen_presentation	HLA_A	IFNGR2_2	740	0.5633016525260668	True
guide	immune_evasion_antigen_presentation	HLA_A	IFNGR2_3	740	0.5633018894325069	True
guide	immune_evasion_antigen_presentation	HLA_A	ILF2_2	740	0.5637048969005383	True
guide	immune_evasion_antigen_presentation	HLA_A	ILF2_3	740	0.5633508106124017	True
guide	immune_evasion_antigen_presentation	HLA_A	IRF3_1	740	0.5646543586861228	True
guide	immune_evasion_antigen_presentation	HLA_A	IRF3_2	740	0.5645235567178449	True
guide	immune_evasion_antigen_presentation	HLA_A	IRF3_3	740	0.5653057921699756	True
guide	immune_evasion_antigen_presentation	HLA_A	IRF4_1	740	0.5650358668947089	True
guide	immune_evasion_antigen_presentation	HLA_A	IRF4_2	740	0.5652293898430213	True
guide	immune_evasion_antigen_presentation	HLA_A	IRF4_3	740	0.5636472990222723	True
guide	immune_evasion_antigen_presentation	HLA_A	ISYNA1_1	740	0.5662849857138014	True
guide	immune_evasion_antigen_presentation	HLA_A	ISYNA1_2	740	0.5653714744805124	True
guide	immune_evasion_antigen_presentation	HLA_A	ISYNA1_3	740	0.5646528780208718	True
guide	immune_evasion_antigen_presentation	HLA_A	ITGA3_1	740	0.565988823050286	True
guide	immune_evasion_antigen_presentation	HLA_A	ITGA3_2	740	0.5663799851963088	True
guide	immune_evasion_antigen_presentation	HLA_A	ITGA3_3	740	0.5643361341103668	True
guide	immune_evasion_antigen_presentation	HLA_A	JAK1_1	740	0.5633026593784375	True
guide	immune_evasion_antigen_presentation	HLA_A	JAK1_2	740	0.563301978272422	True
guide	immune_evasion_antigen_presentation	HLA_A	JAK1_3	740	0.5633012379397965	True
guide	immune_evasion_antigen_presentation	HLA_A	JAK2_1	740	0.5633016525260668	True
guide	immune_evasion_antigen_presentation	HLA_A	JAK2_2	740	0.563301948659117	True
guide	immune_evasion_antigen_presentation	HLA_A	JAK2_3	740	0.5633017709792868	True
guide	immune_evasion_antigen_presentation	HLA_A	JMJD7_1	740	0.565226102766164	True
guide	immune_evasion_antigen_presentation	HLA_A	JMJD7_2	740	0.5651662838900215	True
guide	immune_evasion_antigen_presentation	HLA_A	JMJD7_3	740	0.5645061144811875	True
